1,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD ANCHOR POINT AK 99556,9072355692,1,No Comment
2,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET ANCHORAGE AK 99503,9073432892,2,No Comment
3,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET ANDERSON AK 99744,9075822628,3,No Comment
4,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY BETHEL AK 99559,9075434516,4,No Comment
5,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD BIG LAKE AK 99652,9078617636,5,No Comment
6,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD CANTWELL AK 99729,9077682372,6,No Comment
7,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY CHINIAK AK 99615,9074863022,7,No Comment
8,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD COLD BAY AK 99571,9075322878,8,No Comment
9,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD COOPER LANDING AK 99572,9075951241,9,No Comment
10,CORDOVA PUBLIC LIBRARY,601 FIRST STREET CORDOVA AK 99574,9074246667,10,No Comment
11,CRAIG PUBLIC LIBRARY,504 THIRD STREET CRAIG AK 99921,9078263281,11,No Comment
12,IPNATCHIAQ LIBRARY,59 MAIN STREET DEERING AK 99736,9073632136,12,No Comment
13,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET DELTA JUNCTION AK 99737,9078954102,13,No Comment
14,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST DILLINGHAM AK 99576,9078425610,14,No Comment
15,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN EAGLE AK 99738,9075472334,15,No Comment
16,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET FAIRBANKS AK 99701,9074591022,16,No Comment
17,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD GALENA AK 99741,9076561883,17,No Comment
18,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY GLENNALLEN AK 99588,9078225427,18,No Comment
19,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD GUSTAVUS AK 99826,9076972350,19,No Comment
20,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH HAINES AK 99827,9077666420,20,No Comment
21,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET HEALY AK 99743,9076832507,21,No Comment
22,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD HOLLIS AK 99950,9075307112,22,No Comment
23,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE HOMER AK 99603,9072353180,23,No Comment
24,HOPE SUNRISE COMMUNITY LIBRARY,18487 A AVENUE HOPE AK 99605,9073010399,24,No Comment
25,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY JUNEAU AK 99801,9075860443,25,No Comment
26,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY KASILOF AK 99610,9072525886,26,No Comment
27,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP KENAI AK 99611,9072834378,27,No Comment
28,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE KETCHIKAN AK 99901,9072253331,28,No Comment
29,KODIAK PUBLIC LIBRARY,612 EGAN WAY KODIAK AK 99615,9074868686,29,No Comment
30,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET KOTZEBUE AK 99752,9074422410,30,No Comment
31,MCGRATH COMMUNITY LIBRARY,249 F STREET MCGRATH AK 99627,9075243843,31,No Comment
32,CENTENNIAL LIBRARY,4TH & MILTON STREET METLAKATLA AK 99926,9078866000,32,No Comment
33,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET NAKNEK AK 99633,9072464465,33,No Comment
34,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET NENANA AK 99760,9078325812,34,No Comment
35,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY NINILCHIK AK 99639,9075673333,35,No Comment
36,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE NOME AK 99762,9074436628,36,No Comment
37,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY PALMER AK 99645,9077611371,37,No Comment
38,PELICAN PUBLIC LIBRARY,166 SALMON WAY PELICAN AK 99832,9077352500,38,No Comment
39,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET PETERSBURG AK 99833,9077723349,39,No Comment
40,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE PORT LIONS AK 99550,9074542012,40,No Comment
41,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD ST. PAUL AK 99660,9075463334,41,No Comment
42,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET SELDOVIA AK 99663,9072347662,42,No Comment
43,SEWARD COMMUNITY LIBRARY AND MUSEUM,239 6TH AVENUE SEWARD AK 99664,9072244082,43,No Comment
44,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE SITKA AK 99835,9077474020,44,No Comment
45,SKAGWAY PUBLIC LIBRARY,769 STATE STREET SKAGWAY AK 99840,9079832665,45,No Comment
46,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST. SOLDOTNA AK 99669,9072624227,46,No Comment
47,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY SUTTON AK 99674,9078617640,47,No Comment
48,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE TAKOTNA AK 99675,9072982229,48,No Comment
49,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD TALKEETNA AK 99676,9078617645,49,No Comment
50,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET TANANA AK 99777,9073667356,50,No Comment
51,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE TENAKEE SPRINGS AK 99841,9077362248,51,No Comment
52,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY TOK AK 99780,9078835623,52,No Comment
53,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE VALDEZ AK 99686,9078354632,53,No Comment
54,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET WASILLA AK 99654,9073765913,54,No Comment
55,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER WILLOW AK 99688,9078617655,55,No Comment
56,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET WRANGELL AK 99929,9078743535,56,No Comment
57,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD AKIAK AK 99552,-3,57,No Comment
58,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY KENNY LAKE AK 99573,9078223015,58,No Comment
59,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET UTQIAGVIK AK 99723,9078524050,59,No Comment
60,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET AKIACHAK AK 99551,-3,60,No Comment
61,MOOSE PASS PUBLIC LIBRARY,38100 DEPOT ROAD MOOSE PASS AK 99631,9072883111,61,No Comment
62,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET NIKOLAI AK 99691,9072932427,62,No Comment
63,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD SAND POINT AK 99661,9073832393,63,No Comment
64,EGEGIK VILLAGE LIBRARY,289 AIRPORT ROAD EGEGIK AK 99579,9072332211,64,No Comment
65,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE TRAPPER CREEK AK 99683,9078617650,65,No Comment
66,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 MAIN STREET HOLY CROSS AK 99602,9074767131,66,No Comment
67,OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET OUZINKIE AK 99644,9076802323,67,No Comment
68,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE UNALASKA AK 99685,9075815060,68,No Comment
69,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE ANIAK AK 99557,9076754435,69,No Comment
70,HYDER PUBLIC LIBRARY,50 MAIN STREET HYDER AK 99923,2506369169,70,No Comment
71,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,101 PINE STREET SHAGELUK AK 99665,9074738206,71,No Comment
72,BLACKWELL COMMUNITY/SCHOOL LIBRARY,100 WHITE SPRUCE TRAIL ANVIK AK 99558,9076636348,72,No Comment
73,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,315 3RD STRESS GRAYLING AK 99590,9074535135,73,No Comment
74,LAKE MINCHUMINA COMMUNITY LIBRARY,123 FRONT STREET LAKE MINCHUMINA AK 99757,9076743211,74,No Comment
75,IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY IGIUGIG AK 99613,9075333211,75,No Comment
76,COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY COFFMAN COVE AK 99918,9073292233,76,No Comment
77,THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE THORNE BAY AK 99919,9078283303,77,No Comment
78,WHALE PASS COMMUNITY LIBRARY,1 BEACH ROAD WHALE PASS AK 99950,9078465226,78,No Comment
79,KLUKWAN COMMUNITY/SCHOOL LIBRARY,315 MISSION STREET KLUKWAN AK 99827,9077675505,79,No Comment
80,SAMUEL B. FOSS LIBRARY,1 WATERFRONT WAY PEDRO BAY AK 99647,9078502225,80,No Comment
81,EDNA BAY COMMUNITY LIBRARY,100 SCHOOL HOUSE ROAD EDNA BAY AK 99950,9075946109,81,No Comment
82,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST JASPER AL 35501,2052212568,82,No Comment
83,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41 ARLEY AL 35541,2053870129,83,No Comment
84,DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE DOUBLE SPRINGS AL 35553,2054892412,84,No Comment
85,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET HALEYVILLE AL 35565,2054867450,85,No Comment
86,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET JASPER AL 35501,2052218512,86,No Comment
87,SUMITON PUBLIC LIBRARY,416 STATE STREET SUMITON AL 35148,2056487451,87,No Comment
88,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET HEFLIN AL 36264,2564637125,88,No Comment
89,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET ROANOKE AL 36274,3348632632,89,No Comment
90,ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH ASHLAND AL 36251,2563543427,90,No Comment
