1,Toy Story,120,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,Animation Comedy Family,1995,Good,John Lasseter
2,Jumanji,121,Robin Williams Jonathan Hyde Kirsten Dunst Bradley Pierce Bonnie Hunt,Adventure Fantasy Family,1995,Good,Joe Johnston
3,Grumpier Old Men,122,Walter Matthau Jack Lemmon Ann-Margret Sophia Loren Daryl Hannah,Romance Comedy,1995,Good,Howard Deutch
4,Waiting to Exhale,123,Whitney Houston Angela Bassett Loretta Devine Lela Rochon Gregory Hines,Comedy Drama Romance,1995,Bad,Forest Whitaker
5,Father of the Bride Part II,124,Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern,Comedy,1995,Good,Charles Shyer
6,Heat,125,Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore,Action Crime Drama Thriller,1995,Good,Michael Mann
7,Sabrina,126,Harrison Ford Julia Ormond Greg Kinnear Angie Dickinson Nancy Marchand,Comedy Romance,1995,Good,Sydney Pollack
8,Tom and Huck,127,Jonathan Taylor Thomas Brad Renfro Rachael Leigh Cook Michael McShane Amy Wright,Action Adventure Drama Family,1995,Bad,Peter Hewitt
9,Sudden Death,128,Jean-Claude Van Damme Powers Boothe Dorian Harewood Raymond J. Barry Ross Malinger,Action Adventure Thriller,1995,Good,Peter Hyams
10,GoldenEye,129,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Adventure Action Thriller,1995,Good,Martin Campbell
11,The American President,130,Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith,Comedy Drama Romance,1995,Good,Rob Reiner
12,Dracula: Dead and Loving It,131,Leslie Nielsen Mel Brooks Amy Yasbeck Peter MacNicol Lysette Anthony,Comedy Horror,1995,Bad,Mel Brooks
13,Balto,132,Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Phil Collins,Family Animation Adventure,1995,Good,Simon Wells
14,Nixon,133,Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins,History Drama,1995,Good,Oliver Stone
15,Cutthroat Island,134,Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide,Action Adventure,1995,Good,Renny Harlin
16,Casino,135,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Drama Crime,1995,Bad,Martin Scorsese
17,Sense and Sensibility,136,Kate Winslet Emma Thompson Hugh Grant Tom Wilkinson Alan Rickman,Drama Romance,1995,Good,Ang Lee
18,Four Rooms,137,Tim Roth Antonio Banderas Jennifer Beals Madonna Marisa Tomei,Crime Comedy,1995,Good,Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino
19,Ace Ventura: When Nature Calls,138,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Crime Comedy Adventure,1995,Good,Steve Oedekerk
20,Money Train,139,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Action Comedy Crime,1995,Bad,Joseph Ruben
21,Get Shorty,140,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Comedy Thriller Crime,1995,Good,Barry Sonnenfeld
22,Copycat,141,Sigourney Weaver Holly Hunter Will Patton William McNamara Harry Connick Jr.,Drama Thriller,1995,Good,Jon Amiel
23,Assassins,142,Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson,Action Adventure Crime Thriller,1995,Good,Richard Donner
24,Powder,143,Mary Steenburgen Sean Patrick Flanery Lance Henriksen Jeff Goldblum Brandon Smith,Drama Fantasy Sci-Fi Thriller,1995,Bad,Victor Salva
25,Leaving Las Vegas,144,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Steven Weber,Drama Romance,1995,Good,Mike Figgis
26,Othello,145,Laurence Fishburne Irène Jacob Kenneth Branagh Nathaniel Parker Indra Ové,Drama,1995,Good,Oliver Parker
27,Now and Then,146,Christina Ricci Rosie O'Donnell Thora Birch Melanie Griffith Gaby Hoffmann,Comedy Drama Family,1995,Good,Lesli Linka Glatter
28,Persuasion,147,Amanda Root Ciarán Hinds Susan Fleetwood Fiona Shaw John Woodvine,Drama Romance,1995,Bad,Roger Michell
29,The City of Lost Children,148,Ron Perlman Dominique Pinon Judith Vittet Daniel Emilfork Jean-Claude Dreyfus,Fantasy Sci-Fi Adventure,1995,Good,Jean-Pierre Jeunet Marc Caro
30,Shanghai Triad,149,Gong Li Li Bao-Tian Wang Xiaoxiao Li Xuejian Chun Sung,Drama Crime,1995,Good,Zhang Yimou
31,Dangerous Minds,150,Michelle Pfeiffer George Dzundza Courtney B. Vance Robin Bartlett John Neville,Drama Crime,1995,Good,John N. Smith
32,Twelve Monkeys,151,Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse,Sci-Fi Thriller Mystery,1995,Bad,Terry Gilliam
33,Wings of Courage,152,Craig Sheffer Elizabeth McGovern Tom Hulce Ken Pogue Ron Sauvé,Romance Adventure,1996,Good,Jean-Jacques Annaud
34,Babe,153,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Fantasy Drama Comedy Family,1995,Good,Chris Noonan
35,Carrington,154,Emma Thompson Jonathan Pryce Steven Waddington Samuel West Rufus Sewell,History Drama Romance,1995,Good,Christopher Hampton
36,Dead Man Walking,155,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,Drama,1995,Bad,Tim Robbins
37,Across the Sea of Time,156,Peter Reznick John McDonough Avi Hoffman Matt Malloy Abby Lewis,Adventure History Drama Family,1995,Good,Stephen Low
38,It Takes Two,157,Kirstie Alley Steve Guttenberg Ashley Olsen Mary-Kate Olsen Jane Sibbett,Comedy Family Romance,1995,Good,Andy Tennant
39,Clueless,158,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Comedy Drama Romance,1995,Good,Amy Heckerling
40,"Cry, the Beloved Country",159,James Earl Jones Charles S. Dutton Jack Robinson Tsholofelo Wechoemang Ramalao Makhene,Drama,1995,Bad,Darrell James Roodt
41,Richard III,160,Ian McKellen Annette Bening Jim Broadbent Kristin Scott Thomas Adrian Dunbar,Drama War,1995,Good,Richard Loncraine
42,Dead Presidents,161,Larenz Tate Keith David Chris Tucker Freddy Rodríguez Rose Jackson,Action Crime Drama History,1995,Good,Albert Hughes Allen Hughes
43,Restoration,162,Robert Downey Jr. Meg Ryan Sam Neill David Thewlis Hugh Grant,Drama Romance,1995,Good,Michael Hoffman
44,Mortal Kombat,163,Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson,Action Fantasy,1995,Bad,Paul W.S. Anderson
45,To Die For,164,Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Illeana Douglas,Fantasy Drama Comedy Thriller,1995,Good,Gus Van Sant
